Ta, Tb
9.944311, 10.687939
9.944318, 10.687948
9.944326, 10.687957
9.944333, 10.687965
9.944341, 10.687974
9.944349, 10.687983
9.944356, 10.687991
9.944364, 10.688000
9.944372, 10.688009
9.944380, 10.688017
9.944388, 10.688026
9.944395, 10.688035
9.944403, 10.688043
9.944411, 10.688052
9.944419, 10.688060
9.944427, 10.688069
9.944435, 10.688077
9.944443, 10.688086
9.944451, 10.688094
9.944459, 10.688103
9.944467, 10.688111
9.944475, 10.688119
9.944483, 10.688128
9.944491, 10.688136
9.944498, 10.688144
9.944506, 10.688153
9.944514, 10.688161
9.944522, 10.688169
9.944529, 10.688177
9.944537, 10.688185
9.944544, 10.688193
9.944552, 10.688202
9.944559, 10.688210
9.944567, 10.688218
9.944574, 10.688225
9.944581, 10.688233
9.944588, 10.688241
9.944595, 10.688249
9.944602, 10.688257
9.944609, 10.688265
9.944615, 10.688272
9.944622, 10.688280
9.944629, 10.688288
9.944635, 10.688295
9.944641, 10.688303
9.944648, 10.688310
9.944654, 10.688317
9.944660, 10.688325
9.944666, 10.688332
9.944671, 10.688339
9.944677, 10.688347
9.944683, 10.688354
9.944688, 10.688361
9.944693, 10.688368
9.944698, 10.688375
9.944704, 10.688382
9.944708, 10.688389
9.944713, 10.688396
9.944718, 10.688402
9.944723, 10.688409
9.944727, 10.688416
9.944731, 10.688422
9.944736, 10.688429
9.944740, 10.688435
9.944744, 10.688442
9.944747, 10.688448
9.944751, 10.688454
9.944755, 10.688460
9.944758, 10.688467
9.944761, 10.688473
9.944765, 10.688479
9.944768, 10.688485
9.944771, 10.688491
9.944774, 10.688496
9.944777, 10.688502
9.944779, 10.688508
9.944782, 10.688514
9.944784, 10.688519
9.944787, 10.688525
9.944789, 10.688530
9.944791, 10.688535
9.944793, 10.688541
9.944795, 10.688546
9.944797, 10.688551
9.944799, 10.688556
9.944801, 10.688561
9.944803, 10.688566
9.944804, 10.688571
9.944806, 10.688576
9.944807, 10.688581
9.944809, 10.688585
9.944810, 10.688590
9.944811, 10.688594
9.944813, 10.688599
9.944814, 10.688603
9.944815, 10.688608
9.944816, 10.688612
9.944817, 10.688616
9.944818, 10.688620
9.944819, 10.688624
9.944820, 10.688628
9.944821, 10.688632
9.944822, 10.688636
9.944823, 10.688640
9.944824, 10.688644
9.944825, 10.688647
9.944826, 10.688651
9.944827, 10.688654
9.944828, 10.688658
9.944829, 10.688661
9.944829, 10.688665
9.944830, 10.688668
9.944831, 10.688671
9.944832, 10.688674
9.944833, 10.688677
9.944834, 10.688680
9.944835, 10.688683
9.944836, 10.688686
9.944838, 10.688689
9.944839, 10.688692
9.944840, 10.688694
9.944841, 10.688697
9.944842, 10.688700
9.944844, 10.688702
9.944845, 10.688705
9.944847, 10.688707
9.944848, 10.688709
9.944850, 10.688712
9.944851, 10.688714
9.944853, 10.688716
9.944855, 10.688718
9.944856, 10.688720
9.944858, 10.688722
9.944860, 10.688724
9.944862, 10.688726
9.944864, 10.688728
9.944867, 10.688730
9.944869, 10.688732
9.944871, 10.688734
9.944874, 10.688735
9.944876, 10.688737
9.944879, 10.688739
9.944881, 10.688740
9.944884, 10.688742
9.944887, 10.688743
9.944890, 10.688745
9.944893, 10.688746
9.944896, 10.688747
9.944899, 10.688749
9.944903, 10.688750
9.944906, 10.688751
9.944909, 10.688752
9.944913, 10.688754
9.944917, 10.688755
9.944920, 10.688756
9.944924, 10.688757
9.944928, 10.688758
9.944932, 10.688759
9.944936, 10.688760
9.944941, 10.688761
9.944945, 10.688762
9.944949, 10.688763
9.944954, 10.688764
9.944958, 10.688764
9.944963, 10.688765
9.944968, 10.688766
9.944973, 10.688767
9.944978, 10.688768
9.944983, 10.688768
9.944988, 10.688769
9.944993, 10.688770
9.944998, 10.688770
9.945004, 10.688771
9.945009, 10.688772
9.945014, 10.688772
9.945020, 10.688773
9.945026, 10.688774
9.945031, 10.688774
9.945037, 10.688775
9.945043, 10.688776
9.945049, 10.688776
9.945055, 10.688777
9.945061, 10.688777
9.945068, 10.688778
9.945074, 10.688778
9.945080, 10.688779
9.945086, 10.688780
9.945093, 10.688780
9.945099, 10.688781
9.945106, 10.688781
9.945113, 10.688782
9.945119, 10.688782
9.945126, 10.688783
9.945133, 10.688783
9.945140, 10.688784
9.945146, 10.688785
9.945153, 10.688785
9.945160, 10.688786
9.945167, 10.688786
9.945174, 10.688787
9.945181, 10.688788
9.945188, 10.688788
9.945196, 10.688789
9.945203, 10.688790
9.945210, 10.688790
9.945217, 10.688791
9.945224, 10.688792
9.945232, 10.688792
9.945239, 10.688793
9.945246, 10.688794
9.945254, 10.688794
9.945261, 10.688795
9.945268, 10.688796
9.945276, 10.688797
9.945283, 10.688798
9.945290, 10.688798
9.945298, 10.688799
9.945305, 10.688800
9.945312, 10.688801
9.945320, 10.688802
9.945327, 10.688803
9.945335, 10.688804
9.945342, 10.688805
9.945349, 10.688806
9.945357, 10.688807
9.945364, 10.688808
9.945371, 10.688809
9.945378, 10.688810
9.945386, 10.688811
9.945393, 10.688813
9.945400, 10.688814
9.945407, 10.688815
9.945415, 10.688816
9.945423, 10.688818
9.945431, 10.688819
9.945439, 10.688820
9.945447, 10.688822
9.945454, 10.688823
9.945462, 10.688825
9.945470, 10.688826
9.945478, 10.688827
9.945485, 10.688829
9.945493, 10.688831
9.945500, 10.688832
9.945508, 10.688834
9.945515, 10.688835
9.945523, 10.688837
9.945530, 10.688839
9.945538, 10.688841
9.945548, 10.688842
9.945557, 10.688844
9.945566, 10.688846
9.945575, 10.688848
9.945584, 10.688850
9.945593, 10.688852
9.945601, 10.688854
9.945610, 10.688856
9.945618, 10.688858
9.945627, 10.688860
9.945635, 10.688862
9.945643, 10.688864
9.945651, 10.688867
9.945659, 10.688869
9.945667, 10.688871
9.945674, 10.688873
9.945682, 10.688876
9.945689, 10.688878
9.945696, 10.688880
9.945703, 10.688883
9.945710, 10.688885
9.945717, 10.688888
9.945724, 10.688890
9.945731, 10.688893
9.945737, 10.688896
9.945743, 10.688898
9.945750, 10.688901
9.945756, 10.688904
9.945762, 10.688907
9.945767, 10.688909
9.945773, 10.688912
9.945779, 10.688915
9.945784, 10.688918
9.945789, 10.688921
9.945794, 10.688924
9.945799, 10.688927
9.945804, 10.688930
9.945809, 10.688933
9.945814, 10.688936
9.945818, 10.688939
9.945822, 10.688942
9.945827, 10.688945
9.945831, 10.688949
9.945834, 10.688952
9.945838, 10.688955
9.945842, 10.688958
9.945845, 10.688962
9.945849, 10.688965
9.945852, 10.688969
9.945855, 10.688972
9.945858, 10.688976
9.945860, 10.688979
9.945863, 10.688983
9.945865, 10.688986
9.945868, 10.688990
9.945870, 10.688993
9.945872, 10.688997
9.945874, 10.689001
9.945875, 10.689004
9.945877, 10.689008
9.945878, 10.689012
9.945880, 10.689016
9.945881, 10.689019
9.945882, 10.689023
9.945883, 10.689027
9.945883, 10.689031
9.945884, 10.689035
9.945884, 10.689039
9.945884, 10.689043
9.945885, 10.689047
9.945884, 10.689051
9.945884, 10.689055
9.945884, 10.689059
9.945883, 10.689063
9.945883, 10.689067
9.945882, 10.689071
9.945881, 10.689075
9.945880, 10.689079
9.945879, 10.689084
9.945878, 10.689088
9.945876, 10.689092
9.945874, 10.689096
9.945873, 10.689101
9.945871, 10.689105
9.945869, 10.689109
9.945867, 10.689113
9.945864, 10.689118
9.945862, 10.689122
9.945859, 10.689126
9.945856, 10.689131
9.945853, 10.689135
9.945850, 10.689140
9.945847, 10.689144
9.945844, 10.689149
9.945840, 10.689153
9.945837, 10.689157
9.945833, 10.689162
9.945829, 10.689166
9.945825, 10.689171
9.945821, 10.689175
9.945817, 10.689180
9.945812, 10.689184
9.945808, 10.689190
9.945803, 10.689195
9.945799, 10.689201
9.945794, 10.689207
9.945789, 10.689213
9.945783, 10.689218
9.945778, 10.689224
9.945773, 10.689230
9.945767, 10.689236
9.945761, 10.689242
9.945756, 10.689247
9.945750, 10.689253
9.945744, 10.689259
9.945737, 10.689265
9.945731, 10.689271
9.945725, 10.689277
9.945718, 10.689283
9.945712, 10.689289
9.945705, 10.689295
9.945698, 10.689301
9.945691, 10.689307
9.945684, 10.689313
9.945677, 10.689319
9.945669, 10.689325
9.945662, 10.689331
9.945654, 10.689337
9.945647, 10.689343
9.945639, 10.689349
9.945631, 10.689355
9.945623, 10.689361
9.945615, 10.689367
9.945607, 10.689373
9.945598, 10.689379
9.945590, 10.689385
9.945582, 10.689391
9.945573, 10.689398
9.945564, 10.689404
9.945555, 10.689410
9.945547, 10.689416
9.945538, 10.689422
9.945529, 10.689428
9.945519, 10.689434
9.945510, 10.689440
9.945501, 10.689447
9.945491, 10.689453
9.945482, 10.689459
9.945472, 10.689465
9.945462, 10.689471
9.945453, 10.689477
9.945443, 10.689483
9.945433, 10.689490
9.945423, 10.689496
9.945413, 10.689502
9.945402, 10.689508
9.945392, 10.689514
9.945382, 10.689520
9.945371, 10.689526
9.945361, 10.689532
9.945350, 10.689539
9.945340, 10.689545
9.945329, 10.689551
9.945318, 10.689557
9.945307, 10.689563
9.945296, 10.689569
9.945285, 10.689575
9.945274, 10.689581
